Club_ID,Club_Name,Primary language,City,Province,Country
100,LA PILERIE,French,MOMIGNIES,Hainaut,BELGIQUE
101,BAM,French,BASTOGNE,Luxembourg,BELGIQUE
102,LES DAHUTS - ANDAGE ,French,SAINT-HUBERT,Luxembourg,BELGIQUE
103,LES TUNIQUES BLEUES,French,NIVELLES,Brabant Wallon,BELGIQUE
104,EVASION,French,HOUDENG GOEGNIES,Hainaut,BELGIQUE
105,LES AUBEPINES,French,CEREXHE-HEUSEUX,Liège,BELGIQUE
107,S.J.N. CLUB,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
109,LES CARACOLES,French,NAMUR,Namur,BELGIQUE
110,LES QUILLES LIBRES,French,ARLON,Luxembourg,BELGIQUE
111,LA CLAIRIÈRE,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
112,RJCV SPORT,French,Malonne,Namur,BELGIQUE
113,CLERLANDE SPORT,French,Ottignies,Brabant Wallon,Belgique
115,LES OURSONS,French,BONNEVILLE,Namur,BELGIQUE
116,LES COPAINS,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
118,LES GRINGOS,French,SUGNY,Namur,BELGIQUE
119,METHYS,French,LIEGE,Liège,BELGIQUE
120,L'EFFORT,French,LIEGE,Liège,BELGIQUE
121,L'ENVOL,French,MOUSCRON,Hainaut,BELGIQUE
122,LA FORESTIERE,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
123,LA CLARINE,French,FAYT-LEZ-MANAGE,Hainaut,BELGIQUE
124,JENNEVAUX RENCONTRE,French,LESVE,Namur,BELGIQUE
125,LES KOLOUTES,French,GREZ-DOICEAU,Brabant Wallon,BELGIQUE
126,SPORT DE L'AMITIE,French,MONT-SAINT-GUIBERT,Brabant Wallon,BELGIQUE
127,PÉRUWELZ RAINBOW SPORTS,French,TOURNAI,Hainaut,BELGIQUE
128,LES HAUTES ARDENNES,French,VIELSALM,Luxembourg,BELGIQUE
129,C.S. DE HEMPTINNE,French,JAUCHE,Brabant Wallon,BELGIQUE
131,LES ACACIAS,French,Nivelles,Brabant Wallon,BELGIQUE
132,LA CORDEE SPORTS,French,BOUGE,Namur,BELGIQUE
133,LES 1001 NUITS,French,GREZ-DOICEAU,Brabant Wallon,BELGIQUE
134,CENTRE CERFONTAINE,French,PERUWELZ,Hainaut,BELGIQUE
135,LE CASTILLON,French,LA LOUVIÈRE,Hainaut,BELGIQUE
137,MOSPO,French,HERSEAUX,Hainaut,BELGIQUE
138,OKAPI SPORT,French,CASTEAU,Hainaut,BELGIQUE
139,CLAIRVAL SPORT ACIS,French,BARVAUX,Luxembourg,BELGIQUE
140,LE SESAME,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
142,FARRA STRATEGIE,French,Auderghem,Brussel/Bruxelles,BELGIQUE
143,LE CHAT BOTTÉ,French,LA LOUVIÈRE,Hainaut,BELGIQUE
144,LES PLATANES,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
145,LE PRETEXTE,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
146,LE PETIT POUCET,French,SIVRY,Hainaut,BELGIQUE
147,CENTRE REINE FABIOLA,French,NEUFVILLES,Hainaut,BELGIQUE
148,LES RENARDS DE VOLAIVILLE,French,FAUVILLERS,Luxembourg,BELGIQUE
152,S.R.A. L'ODYSSEE,French,MONTIGNIES / S / SAMBRE,Hainaut,BELGIQUE
153,L'ESPACE LIOBA,French,NAMUR,Namur,BELGIQUE
154,LES BLÉS D’OR,French,MOURCOURT,Hainaut,BELGIQUE
155,DELTA,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
157,DOMITILLE,French,WAIMES,Liège,BELGIQUE
158,SPORT ESPOIR,French,DISON  ANDRIMONT,Liège,BELGIQUE
159,LES BOLETS,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
160,B.S.C. OSTBELGIEN,French,RECHT,Liège,BELGIQUE
161,HOME VALERE DELCROIX,French,Tournai,Hainaut,Belgique
162,A.T.L.A.S.H.,French,TIHANGE,Liège,BELGIQUE
163,FOYER DU FORT,French,Flemalle,Liège,BELGIQUE
164,ARBOTEAM,French,WASMES A-B,Hainaut,BELGIQUE
165,LE COLOMBIER,French,NIVELLES,Brabant Wallon,BELGIQUE
166,LES GOELANDS,French,AUBECHIES,Hainaut,BELGIQUE
168,VRAIES RICHESSES,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
169,CERISAIE SPORT,French,BASSENGE,Liège,BELGIQUE
173,ALBATROS,French,PETITE-CHAPELLE,Namur,BELGIQUE
174,ALTEO MOUSCRON,French,MOUSCRON,Hainaut,BELGIQUE
176,OLDS BRACQS,French,STREPY-BRACQUEGNIES,Hainaut,BELGIQUE
177,"CERCLE SPORTIF ""LA SEVE""",French,XHENDELESSE,Liège,BELGIQUE
178,LE JARDIN DES FÉES,French,Mons,Hainaut,BELGIQUE
179,EQUI - VALENCE,French,RANCE,Hainaut,BELGIQUE
180,PONY-CLUB HOF TE BEVER ASBL,French,MIGNAULT,,BELGIQUE
181,LA POMMERAIE,French,ELLIGNIES-STE-ANNE,Hainaut,BELGIQUE
182,LES CANAILLES,French,MOMALLE,Liège,BELGIQUE
183,LE BOIS ROUSSEL,French,MONTIGNY-LE-TILLEUL,Hainaut,BELGIQUE
184,OXYGENE,French,SCLAYN,Namur,BELGIQUE
186,SIROCCO,French,HAUT-ITTRE,Brabant Wallon,BELGIQUE
187,AU PETIT BONHEUR,French,Grâce-Hollogne,Liège,BELGIQUE
189,FOYER DE THÉMIS,French,Sprimont,Liège,BELGIQUE
191,LES SCORPIONS,French,WILLAUPUIS,Hainaut,BELGIQUE
194,LES SPITANTS,French,AMAY,Liège,BELGIQUE
195,LE KOALA,French,LIEGE,Liège,BELGIQUE
196,LES OLIVIERS SPORT,French,GRIVEGNEE,Liège,BELGIQUE
197,L'ESCAPADE,French,HOUDENG-AIMERIES,Hainaut,BELGIQUE
198,LE CHEVREFEUIL,French,SPA,Liège,BELGIQUE
203,FUN GYM B/ DANS LES YEUX DE LISA,French,Nivelles,Brabant Wallon,Belgique
204,C.S. KANGOUROUS,French,JODOIGNE,Brabant Wallon,BELGIQUE
205,ASCENSION 2,French,POMMEROEUL,Hainaut,
206,LA SOURIS VERTE,French,MONS,Hainaut,
207,LES GRILLONS,French,VAUX-SOUS-CHEVREMONT,Liège,BELGIQUE
209,HAMA II,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
210,A.S. AURORE,French,ANDERLUES,Hainaut,BELGIQUE
211,LES BARRACUDAS,French,RUMES,Hainaut,BELGIQUE
213,LA PASSERELLE,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
214,L'ENVOLÉE,French,HEUSY-VERVIERS,Liège,BELGIQUE
215,KEGELJAN,French,HAM-SUR-SAMBRE,Namur,
217,GRAND AXHE,French,WAREMME,Liège,
219,BOTHEY CLUB,French,GEMBLOUX,Namur,
221,INSTITUT DU BON PASTEUR,French,BURY,Hainaut,BELGIQUE
222,CENTRE DE VIE,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
223,STARTEMIA,French,ETTERBEEK,Brussel/Bruxelles,
224,LE GARDIAN V3,French,CHAPOIS -LEIGNON,Namur,BELGIQUE
227,TOMA STENA,French,BLEGNY,Liège,
229,DREAM TEAM,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
231,LE MAGNOLIA,French,HAUTRAGE,Hainaut,
232,ORFEA,French,ETTERBEEK,Brussel/Bruxelles,
233,LES PETUNIAS,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
234,CONFORT SOCIAL,French,PERUWELZ,Hainaut,
235,LES FOUGERES,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
236,LA MAISON D'EMERAUDE,French,ARVILLE,Luxembourg,
237,EMBARQUEMENT IMMEDIAT,French,SERAING,Liège,BELGIQUE
238,LE VILLAGE,French,COMINES,Hainaut,BELGIQUE
241,MISTRAL SPORT,French,SAINT-GEORGES-SUR-MEUSE,Liège,BELGIQUE
242,C.S. LES TCHANTCHES,French,GRIVEGNEE,Liège,BELGIQUE
243,LES RENES DE LA VIE,French,LA HULPE,Brabant Wallon,Belgium
245,EQUISTAL,French,BORNIVAL,Brabant Wallon,
246,LE COUP FRANC,French,SART-RISBART,Brabant Wallon,BELGIQUE
248,I.S.B.,French,BOITSFORT,Brussel/Bruxelles,BELGIQUE
249,ROQUEBRUNE,French,NAMUR,Namur,BELGIQUE
251,LES PETITS GODETS,French,CARNIERES,Hainaut,BELGIQUE
252,LA FORET,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
253,LES WEIGELIAS,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
254,HADEP,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
255,SAPI-CHAPELLE,French,CHAPELLE-LEZ-HERLAIMONT,Hainaut,
256,LES QUATRE SAISONS,French,AMBLY,Luxembourg,BELGIQUE
258,LES ALIZES,French,MEMBACH (BAELEN),Liège,BELGIQUE
259,COLIBRIS CLUB,French,OPHAIN BOIS SEIGNEUR ISAAC,Brabant Wallon,BELGIQUE
260,L'ENTRE DEUX,French,NANDRIN,Liège,BELGIQUE
261,LES LAPINS BLEUS,French,ALLE S/ SEMOIS,Namur,BELGIQUE
262,ENVOL (LE DIARBOIS),French,JUMET,Hainaut,BELGIQUE
263,SAPI-TEAM,French,MASNUY-St-JEAN,Hainaut,
267,ASBL ESSENTIEL,French,LASNE,Brabant Wallon,
268,DYNAMISPORT,French,BRAINE L'ALLEUD,Brabant Wallon,BELGIQUE
271,LE TOURNESOL SPORTIF,French,ESTAIMPUIS,Hainaut,BELGIQUE
272,LE PETIT PRINCE DE COURCELLES,French,COURCELLES,Hainaut,BELGIQUE
273,SAJA SOLIGNAC,French,HAMOIS (SCHALTIN),Namur,BELGIQUE
274,TABUCHET SPORT,French,Liège,Liège,Belgique
275,LA SYMPHONIE,French,SAINT-SYMPHORIEN,Hainaut,BELGIQUE
279,HAMA 1,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
281,RESIDENCE ÉLYSÉE,French,MONT-SAINT-AUBERT,Hainaut,BELGIQUE
282,LA CASSINE,French,Flobecq,Hainaut,BELGIQUE
284,L'AIR DE PAIX,French,FRAMERIES,Hainaut,BELGIQUE
285,LA BASTIDE,French,NAMUR,Namur,BELGIQUE
286,JUDO CLUB WELLIN ASBL,French,WELLIN,Luxembourg,BELGIQUE
287,HOCKEY TOGETHER PINGOUIN NIVELLES,French,Nivelles,Brabant Wallon,
288,LE JARDIN DES ANGES,French,DOUR,HAINAUT,
289,NEW MOBILITY CLUB SPORTIF DE MOUSCRON,French,MOUSCRON,Hainaut,
290,LOTUS D'OCQUIER,French,OCQUIER,Liège,
291,LES DALTONS,French,Quevy-Le-Grand (Mons),HAINAUT,
292,CARPE DIEM ASBL,French,Jambes,Namur,
293,LES 3 SAPINS,French,Mignault,Hainaut,Belgium
294,LA SAPINIERE DE QUAREGNON,French,Quaregnon,Hainaut,Belgium
296,KANO JC TOURNAI,French,NECHIN,Hainaut,
297,FOYER DU CALYDON,French,Liège,Liège,
298,CERCLE ADAPTE ANDENNAIS,French,Andenne,Namur,
299,A.C.I.S. SOLEIL LEVANT,French,Montignies - sur - Samble,Hainaut,Belgique
300,LE CHAF ASBL,French,FARCIENNES,Hainaut,BELGIQUE
302,LE GRIMOIRE,French,TRANSINNE,Luxembourg,BELGIQUE
303,LES 3 FÉES,French,SPA,Liège,BELGIQUE
304,LES DRAGONS,French,GHLIN,Hainaut,BELGIQUE
306,MAISON DES PILIFS,French,BRUXELLES,Brussel/Bruxelles,
307,JOSO ASBL,French,IXELLES,Brussel/Bruxelles,
308,LA CARAVELLE,French,Peronnes - Lez - Antoing,Hainaut,Belgique
309,LA RENAISSANCE,French,Mons,Hainaut,Belgique
310,VISÉ - CENTRE DE CERFONTAINE,French,HACCOURT,Liège,
311,CHEVAL ET FORET,French,Auderghem,Brussel/Bruxelles,Belgique
312,FAGN' HANDISPORTS ASBL,French,Spa,Liège,Belgique
314,LIFE BADMINTON LE ROEULX,French,Le Roeulx,Hainaut,
315,ECOLE NOS PILIFS,French,Laeken,Brussel/Bruxelles,Belgique
316,LA CADOLE ASBL,French,Bonsecours,Hainaut,Belgique
317,CTM - CAROLO TEAM MARCINELLE,French,Marcinelle,Hainaut,Belgique
318,L'ECHALIER,French,Cerexhe - Heuseux,Liège,Belgique
319,ASBL L'ETOILE FILANTE,French,Péruwelz,Hainaut,Belgium
321,ACBBH,French,Blaton,Hainaut,Belgique
322,ACBB,French,Blaton,Hainaut,Belgium
323,LA GARENNE,French,Wiers - Péruwelz,Hainaut,Belgium
324,LES VELDEMANNEKES,French,BRUSSEL,Brussel/Bruxelles,BELGIË
325,ALL STARS,French,Strambruges,Hainaut,Belgique
326,LE PART'AGE,French,Estaimpuis,Hainaut,Belgique
327,LE PAYS DE COCAGNE,French,Mons,Hainaut,Belgique
328,16 ÂMES,French,ORCQ,Hainaut,Belgique
329,L'ACCUEIL MOSAN ASBL,French,Namur,Namur,Belgium
330,LA BOULAIE,French,Chimay,Hainaut,Belgique
331,SAPI BL'A,French,Braine L'Alleud,Babant Wallon,Belgique
332,B.C. CLERFAYT,French,Hainaut,Wallonie,Belgique
333,EESSCF - LES PEUPLIERS,French,Marloie,Luxembourg,Luxembourg
334,LE NIDVELLES° (LE COLOMBIER 2),French,Nivelles,Brabant-Wallon,Belgium
335,ASCENSION ERQUELINNES,French,Erquelinnes,Hainaut,Belgium
336,LONCIN AU PETIT BONHEUR,French,LONCIN,Liège,Belgium
338,C GO GYM,French,Mouscron,Hainaut,Belgique
339,CIGALINE,French,Merbes-Le-Château,Hainaut,Belgique
340,WOLFHANDI RACLO,French,La Louvière,Hainaut,Belgique
341,JUDO TOP NIVEAU TOURNAI,French,Tournai,Hainaut,Belgium
342,AU FOYER DE CASSIOPEE,French,STOUMONT,Liège,Belgique
343,HOCKEY TOGETHER,French,Uccle,Bruxelles,Belgique
344,RESIDENCE CHATEAU ARC-EN-CIEL,French,Strepy Bracquegnies,Hainaut,Belgique
345,ASBL LES PASSEREAUX,French,Battice,Liège,Belgium
346,TAGO ASBL,French,Neder-Over-Heembeek,Bruxelles,Belgique
347,TIFRA HENSIES,French,Hensies,Hainaut,Belgique
348,NOKTO,French,Neder-Over-Hembeek,Bruxelles,Belgium
349,LE BOIS DE SAPINS,French,Saint-Josse Ten-Noode,Bruxelles,Belgique
350,LES LEUPS,French,GRÂCE-HOLLOGNE,Liège,Belgique
351,LES MARSOUX,French,MARCINELLE,Hainaut,belgique
352,LA PREVOTE,French,Baudour,Hainaut,Belgique
353,MALMEDY ATHLETIC CLUB,French,Malmedy,Liège,Belgique
354,LE SEQUOIA,French,Hyon,Hainaut,Belgique
355,VILLA PILIFS,French,Neder-Over-Heembeek,Bruxelles,Belgique
356,REVALITY SPORT ASBL,French,Ottignies-Louvain-La-Neuve,Brabant Wallon,Belgique
357,FOOT'GERES,French,Colfontaine,Hainaut,Belgique
358,DOMAINE DE LA PASSERELLE,French,Liège,,Belgique
359,ÉTOILE MARCHOISE,French,Marche-en-Famenne,Luxembourg,Belgique
360,FOYER D'ASTREE,French,Liège,,Belgium
361,LES CHANTERELLES,French,Esneux,Liège,Belgique
362,RÉSIDENCE TIFRA,French,Jurbise,Hainaut,Belgique
500,LOMMELSE TENNIS CLUB,Dutch,LOMMEL,Limburg,
501,ZONNELIED,Dutch,ROOSDAAL,Vlaams Brabant,BELGIË
502,BORGERSTEIN,Dutch,SINT-KATELIJNE-WAVER,Antwerpen,BELGIË
504,DE GRAAF,Dutch,Genk,,BELGIË
505,OPEN KANS,Dutch,GENK,Limburg,BELGIË
506,G-BLACK DEVILS UNITED,Dutch,Jabbeke,West-Vlaanderen,België
507,DRAPI,Dutch,DE PINTE,Oost-Vlaanderen,BELGIË
508,SPORTCLUB DRUIVENSTREEK,Dutch,Duisburg,Vlaams Brabant,BELGIË
